file,text
common_voice_tk_39841649.wav,"Ýok, kyn göremok."
common_voice_tk_39930398.wav,Ejesi görgüli ýol boýy ogluna guwanyp geldi.
common_voice_tk_37817449.wav,Mergen göz gytagyny murty ýaňy garalyp başlan oglanlara aýlady.
common_voice_tk_37909402.wav,Ýok hiç wagt uçarman bolmagy arzuw etmedim
common_voice_tk_39929951.wav,Men muňa ýok diýemok.
common_voice_tk_37813186.wav,Asla reňk görnenok.
common_voice_tk_38028182.wav,"Gaýta, dilime «öz diýenli», «kesir», «hötjet», «keçjal», «dikdüşdi» diýen ýaly sözler gelýär."
common_voice_tk_37775810.wav,"Ölüm diriligiň içine girip gitdi, dirilik ölümiň, ak gara siňdi, gara aga."
common_voice_tk_37826162.wav,Ýöne kino kameraň iň kiçijik zatlara çenli görkezýändigini hiç ýadyňdan çykaryp bolanok.
common_voice_tk_37789375.wav,Onda ähli reňk bar.
common_voice_tk_37817476.wav,– Bulgar burç gerek.
common_voice_tk_39929221.wav,"Adamogly irki döwürlerden başlap kiçi ýa-da uly bir toparyň, jemgyýetiň içinde ýaşap gelýär."
common_voice_tk_37786783.wav,"Ygtybarly adamlar azalyberse, dünýäniň direginiň gowşadygy bolmazmy?"
common_voice_tk_37786785.wav,sözüniň yzynda durarmyka?» diýen pikir geler.
common_voice_tk_37776556.wav,"Aramyzda gödekden, gönüsini aýdýan birimizem bardy"
common_voice_tk_37776560.wav,Kanunlar üýtgeşikleriň aslyndaky birligi görmegimize kömek etdi.
common_voice_tk_37909276.wav,Ilki «Näme üçinkä?» diýip geň galdym.
common_voice_tk_37909284.wav,Oňa ne jyn urdy
common_voice_tk_39930644.wav,"– Sulýa diýmesene, süle ýaly bolýar. Sülgün diý."
common_voice_tk_39930657.wav,Onuň turup dolan Aýy synlasy geldi.
common_voice_tk_38077750.wav,"Üýtgemek - bir haldan, ýagdaýdan başgasyna geçmek diýmek."
common_voice_tk_38077752.wav,Daň agaryp gelýär.
common_voice_tk_38734567.wav,"Iş? Okuw? Dowamly öwren, praktika et, energiýaňy hem wagtyňy dogry ulan."
common_voice_tk_38734584.wav,Göterinibilmedi.
common_voice_tk_37808424.wav,"Toba edip öňüňde çökerin, daglar» diýýär."
common_voice_tk_37808429.wav,Hakykatdan hem jigim ikimiz daýymyň tüýdük çalanyny eşitmändik.
common_voice_tk_36937993.wav,"Ýeke atly top oklarynyň çykýan ýerine, duşmanyň çadyrlaryna tarap at goýdy."
common_voice_tk_36937994.wav,Bu nä boluş?
common_voice_tk_36937996.wav,Iki öý beýleräkde tamdyr garalyp görünýär
common_voice_tk_42911197.wav,Çaparbaý bilen Atabaý birleşip ýomut ilini döredýär
common_voice_tk_42911316.wav,"sen ony ne ýuwudyp bilersiň, ne-de yzyna gaýtaryp."
common_voice_tk_42911350.wav,ýöne olaryň hereketleri edil tersine gygyrýan ýalydy.
common_voice_tk_37776905.wav,Azarlap öldümä-row.
common_voice_tk_37776908.wav,Gahrymanymyz bu zatlary eýwandakylara düşündirmek üçin yzyna gaýtdy.
common_voice_tk_37776910.wav,emma «Saryýa» hiç zady ýitirmeýär…
common_voice_tk_39930528.wav,Emma käte birinden jany ýanan biriniň «Men saňa şunça ýagşylyk etdim.
